City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
116,mossel bay,-34.1831,22.146,16.96,92,41,5.18,ZA,1697479261
117,lufilufi,-13.8745,-171.5986,24.88,78,80,9.61,WS,1697479438
118,smithers,54.7804,-127.1743,8.18,93,75,1.54,CA,1697479254
119,utrik,11.2278,169.8474,28.29,75,72,8.43,MH,1697479439
120,ilebo,-4.3167,20.5833,25.61,77,99,0.49,CD,1697479439
121,yeniseysk,58.4497,92.1703,6.08,70,100,2.24,RU,1697479439
122,kuragino,53.8975,92.6725,5.42,77,94,4.05,RU,1697479440
123,dehui,44.5333,125.7,4.25,33,4,2.24,CN,1697479440
124,iskateley,67.6803,53.1512,3.9,93,95,5.81,RU,1697479315
125,sisimiut,66.9395,-53.6735,-4.93,89,97,4.07,GL,1697479441
126,oranjemund,-28.55,16.4333,17.78,73,1,4.12,NA,1697479442
127,kasane,-17.8167,25.15,30.05,39,0,1.54,BW,1697479442
128,villa hernandarias,-31.231,-59.985,27.92,63,97,3.08,AR,1697479442
129,camacupa,-12.0167,17.4833,22.23,60,81,1.98,AO,1697479443
130,petropavlovsk-kamchatsky,53.0452,158.6483,7.33,88,75,5.0,RU,1697479355
131,yeed,4.55,43.0333,30.3,50,100,1.18,SO,1697479443
132,sao francisco,-15.9486,-44.8644,36.29,22,7,4.71,BR,1697479338
133,margate,51.3813,1.3862,13.28,71,100,1.79,GB,1697479297
134,nicoya,10.1483,-85.452,27.09,85,96,2.43,CR,1697479444
135,esmeraldas,-19.7625,-44.3139,31.52,32,15,4.4,BR,1697479276
136,chinde,26.8418,88.0763,14.39,81,64,2.37,NP,1697479445
137,ilhabela,-23.7781,-45.3581,24.19,90,29,1.51,BR,1697479445
138,udachny,66.4167,112.4,-3.64,92,99,1.62,RU,1697479330
139,nizhniy odes,63.6445,54.856,5.65,90,100,3.44,RU,1697479446
140,pemangkat,1.1667,108.9667,26.62,87,99,1.57,ID,1697479446
141,ribeira grande,38.5167,-28.7,23.22,68,20,4.12,PT,1697479446
142,plettenberg bay,-34.0527,23.3716,16.34,88,14,6.48,ZA,1697479446
143,avarua,-21.2078,-159.775,22.03,64,75,3.6,CK,1697479447
144,talnakh,69.4865,88.3972,-1.55,97,100,2.87,RU,1697479447
145,jamestown,42.097,-79.2353,11.12,97,100,5.14,US,1697479447
146,jodhpur,26.2867,73.03,27.36,46,28,6.84,IN,1697479297
147,koriyama,37.4,140.3833,13.43,80,55,3.85,JP,1697479447
148,rudnya,54.947,31.0934,3.71,78,67,4.31,RU,1697479447
149,belmonte,-15.8631,-38.8828,27.03,58,15,3.97,BR,1697479448
150,hermanus,-34.4187,19.2345,17.1,84,37,6.36,ZA,1697479449
151,pisco,-13.7,-76.2167,20.57,83,75,5.66,PE,1697479323
152,tulun,54.5611,100.5792,2.5,86,93,4.36,RU,1697479449
153,uturoa,-16.7333,-151.4333,25.13,80,99,6.19,PF,1697479450
154,remire-montjoly,4.9167,-52.2667,34.02,52,0,6.17,GF,1697479450
155,sao joao da barra,-21.6403,-41.0511,28.05,85,22,6.36,BR,1697479394
156,krasnopillya,50.7746,35.2597,6.64,73,100,7.56,UA,1697479450
157,saint-joseph,-21.3667,55.6167,24.21,88,54,1.15,RE,1697479450
158,vila franca do campo,37.7167,-25.4333,22.16,99,54,7.89,PT,1697479450
